timestamp,username,message
2025-11-02 14:58:59,@gamebenk4120,7
2025-11-02 14:58:59,@Tahru-fb8xm,7
2025-11-02 14:59:00,@VivoImam-e6c,bismillah AE
2025-11-02 14:59:00,@SalehSaleh-f8u,awas ada AE jadi jadian :winking_face:
2025-11-02 14:59:01,@AlhidayatxQol,7
2025-11-02 14:59:01,@BimaElSharawy,ITS ONIC TIME
2025-11-02 14:59:02,@Skyrenn_rrq,It's onic time
2025-11-02 14:59:03,@TriSukawati-il6ft,its onic timeee
2025-11-02 14:59:04,@asekumar30,ndasmu go go go
2025-11-02 14:59:05,@Alfi.agata2975,BERAS²
2025-11-02 14:59:05,@Freistannnnn,lahh ada cendol wkwkwkwk
2025-11-02 14:59:06,@BimaElSharawy,ITS ONIC TIME
2025-11-02 14:59:07,@AidilRamadan-q9j,Nino maaf koh:face-blue-smiling:
2025-11-02 14:59:09,@gamebenk4120,7
2025-11-02 14:59:09,@StillLearning-z5t,AE
2025-11-02 14:59:09,@banganzz5605,main nyaa JM 17 30
2025-11-02 14:59:10,@somyhorror,lah fun match
2025-11-02 14:59:11,@prioritasku1673,nunggu lagi 3 jam
2025-11-02 14:59:11,@mlbb8467,semangat onic
2025-11-02 14:59:13,@SATRIAboper,semoga onic menang salam dari blangko
2025-11-02 14:59:13,@pointhhh,lama amat 17 menit
2025-11-02 14:59:14,@harlanardiansyah8636,4.1 ONIC JUARAAA CLIP
2025-11-02 14:59:14,@IRVAN_24,:squinting_face_with_tongue::backhand_index_pointing_up:
2025-11-02 14:59:16,@StillLearning-z5t,AE
2025-11-02 14:59:16,@ayayna123,semangat landak lucu :red_heart:
2025-11-02 14:59:17,@jati1111id,letsgooo AE
2025-11-02 14:59:17,@PEJUANGHOKI300,ONIC LEST GO
2025-11-02 14:59:18,@gamebenk4120,7
2025-11-02 14:59:19,@agus09z,magrib ini mah mulainya guys
2025-11-02 14:59:20,@Bungsuadihartanto,tenang onic juara ini
2025-11-02 14:59:20,@HudaSyawal,Ae go go go
2025-11-02 14:59:22,@MandalaSovan-bq7qj,APA INI KOK ADA CENDY
2025-11-02 14:59:27,@M.rizkiarbi,YOK ONIC BISAAAA
2025-11-02 14:59:28,@prioritasku1673,NUNGGU LAGI 3 JAM
2025-11-02 14:59:28,@KAIIPARKER_966,masih lama kah ini
2025-11-02 14:59:29,@romdoni07,"kebanyakan mereka yang sarkas player.... itu sebenarnya mereka iri ke player, bisa maen game terus dapet gaji lagi"
2025-11-02 14:59:30,@StephanusAlberto,Berharap onic juara sih
2025-11-02 14:59:31,@Tahru-fb8xm,7
2025-11-02 14:59:31,@Devinaoktaviani-z6f,yang dukung onic mana suaranya
2025-11-02 14:59:32,@blood-m8u,bismillahirrahmanirrahim semoga onic menang
2025-11-02 14:59:32,@opindo34,jam 5 mulainya
2025-11-02 14:59:32,@Historyberanda,"semoga AE juara, biar ada juara baru & warna baru, jangan team itu"" aja yg juara"
2025-11-02 14:59:32,@aciltzy-w4s,4-2
2025-11-02 14:59:33,@TriSukawati-il6ft,GASABAR LIAT SKYLAR JUARA DI ONICCC
2025-11-02 14:59:34,@Bungsuadihartanto,onic ini
2025-11-02 14:59:35,@MuhammadArull-ou8hi,MULAINYA JAM BERAPA WOII?
2025-11-02 14:59:35,@kaell21-g8n,akhirnya lipe
2025-11-02 14:59:37,@Ferdianyan_yan,onic time
2025-11-02 14:59:37,@jati1111id,LETSGOO AE
2025-11-02 14:59:37,@yanbiann,lets goo kink AE vs SkyKing Onic
2025-11-02 14:59:37,@ayayna123,semangat landak lucu :red_heart:
2025-11-02 14:59:37,@Tahru-fb8xm,VII
2025-11-02 14:59:38,@harlanardiansyah8636,4.1
2025-11-02 14:59:38,@MuhammadMunawar-z3r,ONIC
2025-11-02 14:59:39,@DavaFc-g5j,onic bisa 4.1
2025-11-02 14:59:39,@Furufiru,yok ae bisa yok
2025-11-02 14:59:40,@WRedblack,sepi ga ada King RRQ
2025-11-02 14:59:40,@PEJUANGHOKI300,7
2025-11-02 14:59:46,@Sai_Lendra,AE mau pulang sendiri apa di pulangin onic??
2025-11-02 14:59:46,@Historyberanda,"semoga AE juara, biar ada juara baru & warna baru, jangan team itu"" aja yg juara"
2025-11-02 14:59:46,@oziozi7006,AE lokal pride
2025-11-02 14:59:46,@StillLearning-z5t,ALTER EGO
2025-11-02 14:59:47,@KAIIPARKER_966,jir lama bgt 3 jam
2025-11-02 14:59:47,@cbolchuloooo,lama amat
2025-11-02 14:59:49,@XiuiXuiu,AE
2025-11-02 14:59:49,@MogonyegetgyuguMonyet-xb1jy,kapan mulainya woi
2025-11-02 14:59:50,@RezkyCell-b2y,kalau lihat permainan akan ada juara baru ini season 16!
2025-11-02 14:59:52,@prioritasku1673,NUNGGU LAGI 3 JAM
2025-11-02 14:59:52,@AureliaRahma-n4o,ONICCCCCCC!!!!!!!!!!!!!!
2025-11-02 14:59:52,@panjikencana3760,AE
2025-11-02 14:59:52,@StillLearning-z5t,ALTER EGO
2025-11-02 14:59:53,@pemula0795,alter ego go go go
2025-11-02 14:59:53,@jalilguarfeld1958,16 mnt belun ngobrol
2025-11-02 14:59:53,@ayayna123,semangat landak lucu :red_heart:
2025-11-02 14:59:54,@muhammadrifqi-z2y,ae AE AE Aeeeee
2025-11-02 14:59:57,@nommaulana29,ae juara
2025-11-02 14:59:58,@StillLearning-z5t,ALTER EGO
2025-11-02 15:00:00,@Tahru-fb8xm,7
2025-11-02 15:00:01,@adehermawan4787,BADUT...
2025-11-02 15:00:03,@IRVAN_24,1 kalimat lucu: alter ego akan mengukir sejarah
2025-11-02 15:00:04,@ayayna123,16mnt
2025-11-02 15:00:06,@Arief-I14,dah selesai yaaa
2025-11-02 15:00:06,@Vladzzyd,AE JUARA
2025-11-02 15:00:07,@alamriansyah3874,AE juara yokk bisa
2025-11-02 15:00:07,@kintu_7890,wtf cendy
